Period,Revenue,Expense
1,104308578.34394903,36986577.75159235
2,17384763.05732484,6164429.625265392
3,43461907.643312104,15411074.06316348
4,47187214.01273885,16732023.268577492
5,28560682.165605094,10127277.24150743
6,113000959.87261146,40068792.56422505
7,117968035.03184712,41830058.17144373
8,86923815.28662421,30822148.12632696
9,84440277.70700637,29941515.32271762
10,28560682.165605094,10127277.24150743
11,106792115.92356688,37867210.555201694
12,1241768.7898089173,440316.4018046709
